CATEGORY	BIBTEXKEY	author	title	year	(title_translation)	publisher	address	pages	booktitle	(booktitle_translation)	editor	journal	volume	number	school	note	url	howpublished	contributor	date_added	comment	correction_notes	checked
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993		Mouton de Gruyter	Berlin/New York																Y
incollection	haspelmath1996	Haspelmath, Martin	Complement clauses	1996		Lincom Europa	Munich/Newcastle	174--196	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander												Y
book	hewitt1995	Hewitt, George	Georgian. A Structural Reference Grammar	1995		School of Oriental and African Studies, University of London	London					London Oriental and African Language Library	2		University of London				Polina Smyr	30.08.2021			Y
book	hewitt2005	Hewitt, George	Georgian. A Learner's Grammar	2005		Routledge	London/New York												Chiara Naccarato				Y
incollection	holiskygagua1994	Holisky, Dee Ann and Gagua, Rusudan	Tsova-Tush (Batsbi)	1994		Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2		Smeets, Riek								Samira Verhees	28.01.2021			Y
book	ibragimov1978	Ибрагимов, Гарун Х.	Рутульский язык	1978	Rutul	Академия Наук СССР	Москва												Chiara Naccarato	19.08.2021	NOT IN THE FOLDER		Y
book	ibragimov1990	Ибрагимов, Гарун Х.	Цахурский язык	1990	Tsakhur language	Наука	Москва												George Moroz	28.04.2021			Y
book	ibragimov2004	Ибрагимов, Гарун Х.	Рутульский язык	2004	Rutul	Народы Дагестана	Махачкала																Y
book	ibragimovnurmamedov2010	Ибрагимов, Гарун Х. и Нурмамедов, Юнус М.	Цахурско-русский словарь	2010	Tsakhur-Russian dictionary	Дагестанский Государственный Педагогический Университет	Махачкала												Samira Verhees	31.01.2021			Y
book	isaev2001	Исаев, Мамогед-Шапи А. 	Русско-даргинский словарь	2001	Russian-Dargwa dictionary	Институт истории, языка и литературы им. Г. Цадасы	Махачкала												Anastasia Panova	30.08.2021			Y
book	isakovxalilov2001	Исаков, Исак А. и Халилов, Маджид Ш.	Гунзибско-русский словарь	2001	Hunzib-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала												Chiara Naccarato	31.01.2021			Y
book	isakovxalilov2012	Исаков, Исак А. и Халилов, Маджид Ш.	Гунзибский язык (Фонетика. Морфология. Словообразование. Лексика. Тексты)	2012	Hunzib (Phonetics, Morphology, Word-Formation, Lexicon, Texts)	Институт истории, языка и литературы им. Г. Цадасы	Махачкала												Anastasia Panova	30.08.2021	NOT IN THE FOLDER		Y
book	ismailova2011	Исмаилова, Эминат И.	Русско-рутульский словарь	2011	Russian-Rutul dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала												Chiara Naccarato	31.01.2021			Y
book	jakovlev1960	Яковлев, Николай Ф.	Морфология чеченского языка	1960	Chechen morphology	Издательство Академии наук СССР	Грозный																Y
incollection	johanson2018	Johanson, Lars	Turkic indirectivity	2018		Oxford University Press	Oxford	510--524	The Oxford Handbook of Evidentiality		Aikhenvald, Alexandra Y.												Y
incollection	kalinina1999	Калинина, Елена Ю.	Предложения с именным сказуемым	1999	Clause with a nominal subject	Москва	Наследие	420--448	Элементы цахурского языка в типологическом освещении	Elements of Tsakhur grammar in a typological perspective	Кибрик, Александр Е.								Chiara Naccarato	05.11.2021			Y
book	kalmykovasarueva1973	Калмыкова, Софья А. и Саруева, Мария Ф.	Грамматика ногайского языка	1973	Nogai grammar	Ставропольское книжное издательство	Черкесск												Samira Verhees	28.01.2021			Y
book	kankava2001	Канкава,Михаил В.	Грузинско-русский словарь	2001	Georgian-Russian dictionary	Сакартвелос мацие	Тбилиси												Polina Smyr	30.08.2021			Y
book	karasaevmaciev1978	Карасаев, Айсаш Т. и Мациев, Ахмет Г.	Русско-чеченский словарь	1978	Russian-Chechen dictionary	Русский язык	Москва												Chiara Naccarato	05.02.2021			Y
unpublished	kayeetaldraft2020	Kaye, Stephen and Martynova, Aleksandra, and Moroz, George and Rochant, Neige and Verhees, Samira and Zakirova, Aigul	A sketch of Andi (Zilo dialect)	2020		De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook		Koryakov, Yuri and Maisak, Timur								Samira Verhees				Y
misc	kasplingua	NA	KaspLingua	2016												Accessed: 2021-12-17		\url{https://kasplingua.ru/speaks/%d1%80%d0%b0%d0%b7%d0%b3%d0%be%d0%b2%d0%be%d1%80%d0%bd%d1%8b%d0%b5-%d1%84%d1%80%d0%b0%d0%b7%d1%8b-%d0%bd%d0%b0-%d0%bb%d0%b0%d0%ba%d1%81%d0%ba%d0%be%d0%bc-%d1%8f%d0%b7%d1%8b%d0%ba%d0%b5/}	Chiara Naccarato	17.12.2021		author?	Y
book	kazenin2013	Казенин, Константин И.	Синтаксис современного лакского языка	2013	Syntax of contemporary Lak	ИЯЛИ	Махачкала																Y
book	kerimov1985	Керимов, Керим Р.	Глагол хиналугского языка	1985	Verbs of Khinalug	Институт истории, языка и литературы им. Г. Цадасы	Махачкала																Y
book	khajdakov1962	Хайдаков, Саид М.	Лакско-русский словарь	1962	Lak-Russian dictionary	Государственное издательство иностранных и национальных словарей	Москва												Samira Verhees		Editor Л.И.Жирков, but I think it is usually attributed to the compiler only.		Y
book	khajdakov1966	Хайдаков, Саид М.	Очерки по лакской диалектологии	1966	Sketches of Lak dialectology	Наука	Москва												Chiara Naccarato	19.08.2021	NOT IN THE FOLDER		Y
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009											University of Leiden								Y
article	khalilova2011	Khalilova, Zaira	Evidentiality in Tsezic languages	2011				30--48				Linguistic Discovery	9	2									Y
book	kibrik1977	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том II. Таксономическая грамматика	1977	Structural description of Archi. Volume II. Taxonomic grammar	Издательство Академии наук СССР	Москва																Y
book	kibrik1977dict	Кибрик, Александр Е.	Арчинский язык. Тексты и словари	1977	Archi. Texts and dictionaries	Издательство Академии наук СССР	Москва												Chiara Naccarato	02.02.2021			Y
book	kibrik1977dynamic	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том III. Динамическая грамматика	1977	Structural description of Archi. Volume III. Dynamic grammar	Издательство Академии наук СССР	Москва												Chiara Naccarato	02.02.2021			Y
book	kibrik1977vocphon	Кибрик, Александр Е. и Кодзасов, Сандро В. и Оловянникова Ирина П. и Самедов Д. С.	Опыт структурного описания арчинского языка. Том I. Лексика и фонетика	1977	Structural description of Archi. Volume I. Vocabulary and phonetics	Издательство Московского университета	Москва												Maksim Melenchenko	11.08.2021		author name	Y
incollection	kibrik1985	Kibrik, Andrej A.	Absentiv-aorist und resultativ in der andischen Sprache	1985		Friedrich Schiller Universität	Jena	55--66	Sprachen Europas und Asiens		Fähnrich, Heinz								Samira Verhees	13.10.2021			Y
incollection	kibrik1994a	Kibrik, Aleksandr E.	Archi	1994		Caravan Press	Delmar, NY	297--365	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2		Smeets, Rieks								Chiara Naccarato	19.08.2021	NOT IN THE FOLDER		Y
incollection	kibrik1994b	Kibrik, Aleksandr E.	Khinalug	1994		Caravan Press	Delmar, NY	367--406	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2		Smeets, Rieks								Chiara Naccarato	19.08.2021	NOT IN THE FOLDER		Y
book	kibrik1999	Кибрик, Александр Е.	Элементы цахурского языка в типологическом освещении	1999	Elements of Tsakhur grammar in a typological perspective	Москва	Наследие												Samira Verhees	28.01.2021			Y
incollection	kibrik1999sem	Кибрик, Александр Е.	Семантическая эргативность	1999	Semantic ergativity	Москва	Наследие	347--353	Элементы цахурского языка в типологическом освещении	Elements of Tsakhur grammar in a typological perspective	Кибрик, Александр Е.								Chiara Naccarato	05.11.2021			Y
book	kibrik2001	Кибрик, Александр Е. и Казенин, Константин И. и Лютикова, Екатерина А. и Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари	2001	The Bagvalal language. Grammar, texts, dictionary	Наследие	Москва																Y
book	kibriketal1972	Кибрик, Александр Е. и Кодзасов, Сандро В. и Оловянникова, Ирина П.	Фрагменты грамматики хиналугского языка	1972	Fragments of Khinalug grammar	Издательство Академии наук СССР	Москва																Y
book	kibriketal1996	Kibrik, Alexandr and Tatevosov, Sergej and Eulenberg, Alexander	Godoberi	1996		Lincom Europa	Munich/Newcastle																Y
chapter	tatevosov1996	Tatevosov, Sergej	Attributives	1996		Lincom Europa	Munich/Newcastle	20—35	Godoberi														
book	kibrikkodzasov1990	Кибрик, Александр Е. и Кодзасов, Сандро В.  	Сопоставительное изучение дагестанских языков. Имя. Фонетика	1990	A comparative study of Daghestanian languages. Noun. Phonetics	Издательство Академии наук СССР	Москва																Y
incollection	kozhukhar2019	Kozhukhar, Aleksandra	The self-pronoun in Mehweb	2019		Language Science Press	Berlin	271--293	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry								Chiara Naccarato	08.02.2021			Y
incollection	kozintseva2000	Kozintseva, Natalia A.	Perfect forms as a means of expressing evidentiality in Modern Eastern Armenian	2000		Mouton de Gruyter	Berlin/New York	401--418	Evidentials. Turkic, Iranian and neighbouring languages		Johanson, Lars and Utas, Bo								Samira Verhees				Y
misc	kumyktil	NA	Къумукъ тил	2021												Accessed: 2021-12-17		\url{https://кумыкский-язык.рф/ru/slovar}	Chiara Naccarato	17.12.2021		author?	Y
book	maciev1961	Мациев, Ахмет Г.	Чеченско-русский словарь	1961	Chechen-Russian dictionary	Государственное издательство иностранных и национальных словарей	Москва												Anastasia Panova	30.08.2021			Y
book	madieva1965	Мадиева, Гюльшахан И.	Грамматический очерк бежтинского языка	1965	Grammatical profile of Bezhta	ДГУ	Махачкала																Y
book	magomedbekova1967	Магомедбекова, Загидат М.	Ахвахский язык	1967	Akhvakh	Мецниереба	Тбилиси																Y
book	magomedbekova1971	Магомедбекова, Загидат М.	Каратинский язык	1971	Karata 	Мецниереба	Тбилиси																Y
incollection	magomedbekova1998	Магомедбекова, Загидат М.	Тиндинский язык	1998	Tindi	Academia	Москва	25--32	Языки мира. Кавказские языки	Languages of the world. Caucasian languages	Алексеев, Михаил Е. и др.								Chiara Naccarato	19.08.2021			Y
incollection	magomedbekova2001	Магомедбекова, Загидат М.	Ботлихский язык	2001	Botlikh	Academia	Москва	228--236	Языки мира. Кавказские языки	Languages of the world. Caucasian languages	Алексеев, Михаил Е. и др.								Chiara Naccarato	05.02.2021			Y
book	magomedova1999	Магомедова, Патимат Т.	Чамалинско-русский словарь	1999	Chamalal-Russian dictionary	ИЯЛИ	Махачкала																Y
book	magomedova2003	Магомедова, Патимат Т.	Тиндинско-русский словарь	2003	Tindi-Russian dictionary	ИЯЛИ	Махачкала																Y
book	magomedova2004	Магомедова, Патимат Т.	Багвалинско-русский словарь	2004	Bagvalal-Russian dictionary	ИЯЛИ	Махачкала																Y
book	magomedova2012	Магомедова, Патимат Т.	Тиндинский язык	2012	Tindi	ИЯЛИ	Махачкала																Y
book	magomedovaabdulaeva2007	Магомедова, Патимат Т. и Абдулаева, Индира А.	Ахвахско-русский словарь	2007	Akhvakh-Russian dictionary	ИЯЛИ	Махачкала												Samira Verhees				Y
book	magomedovaxalidova2001	Магомедова, Патимат Т. и Халидова, Рашидат Ш.	Каратинско-русский словарь	2001	Karata-Russian dictionary	ИЯЛИ	Махачкала																Y
book 	magomedovsaidovakutta2017	Магомедов, Амирбек Д., Саидов-Акутта Набигулла И.	Кубачинско-русский словарь	2017	Kubachi-Russian dictionary	Наука	Санкт-Петербург												Polina Smyr	24.08.2021			Y
book	magometov1963	Магометов, Александр А.	Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Тбилиси																Y
book	magometov1965	Магометов, Александр А.	Табасаранский язык: исследование и тексты	1965	Tabasaran: research and texts	Мецниереба	Тбилиси																Y
book	magometov1970	Магометов, Александр А.	Агульский язык	1970	Agul	Мецниереба	Тбилиси																Y
book	magometov1982	Магометов, Александр А.	Мегебский диалект даргинского языка: исследование и тексты	1982	Mehweb dialect of Dargwa: research and texts	Мецниереба	Тбилиси												Polina Nasledskova				Y
misc	maisak2006	Майсак, Тимур А.	Краткий русско-удинский разговорник (Ниджский диалект) 	2006	Short Udi phrasebook (Nizh dialect)											Accessed: 2021-12-17		\url{http://udilang.narod.ru/texts/Udirazgovornik.pdf}	Chiara Naccarato	17.12.2021			Y
incollection	maisak2008	Майсак, Тимур А.	Глагольная парадигма удинского языка (Ниджский диалект)	2008	Verb paradigm in Udi (Nizh dialect)	Академия	Москва	96--161	Удинский сборник: грамматика, лексика, история языка	Udi. Grammar. Lexicon. History of the language	Алексеев, Михаил Е. и Майсак, Тимур А. и Ганенков, Дмитрий С. и Ландер, Юрий А.												
book	maisak2014	Майсак, Тимур А.	Агульские тексты 1900-1960-х годов.	2014	Agul texts of the 1900-1960s	Academia	Москва												Corrected (Chiara Naccarato)	01.02.2021			Y
incollection	maisak2016	Майсак, Тимур А.	Перфект и аорист в ниджском диалекте удинского языка	2016	Perfect and aorist in the Nizh dialect of Udi	Наука	Санкт-Петербург	315--378	Типология перфекта		Майсак, Тимур А. и Плунгян, Владимир А. и Семёнова, Ксения П.												Y
unpublished	maisak2016andi	Майсак, Тимур А.	Глагольная система рикванинского говора андийского языка: формообразование	2016	The verbal system of the Rikvani dialect of Andi: inflection	Handout													Samira Verhees				Y
unpublished	maisak2017	Maisak, Timur	Tense and aspect among the factors conditioning the distribution of quotatives: data from Andi	2017												12th Conference of the Association for Linguistic Typology (ALT) Workshop ``Reported speech as a syntactic domain'' Canberra, 15 December 2017. Hand-out							Y
incollection	maisak2018	Maisak, Timur	The Aorist/Perfect distinction in Nizh Udi	2018		Brill	Leiden	120--165	The semantics of verbal categories in Nakh-Daghestanian languages		Forker, Diana and Maisak, Timur												Y
misc	maisak2020	Maisak, Timur	Affixal, phrasal and clausal caritives in Nakh-Daghestanian	2020															Anastasia Panova	30.08.2021	this is a conference abstract		Y
incollection	maisak2021	Maisak, Timur	Structural and functional variations of the perfect in Lezgic languages	2021		John Benjamins	Amsterdam	88--115	The perfect volume		Eide, Kristin Melum and Fryd, Marc								Samira Verhees		NOT IN THE FOLDER		Y
incollection	maisakchumakina2001	Майсак, Тимур А. и Чумакина, Марина Э.	Дискурсивные частицы	2001	Discursive particles	Наследие	Москва	702--723	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. и Лютикова, Екатерина А. и Татевосов, Сергей Г.												Y
